serial,cuenta,medidor,expected_raw,expected_digits,expected_norm,expected_digit_len,image_path,image_found,reading,predicted_digits,predicted_norm,business_match,status,outcome,global_confidence,detection_confidence,recognition_confidence,orientation_confidence,orientation_method,total_ms,detection_ms,preprocessing_ms,ocr_ms,warnings
pilot_0033,<redacted>,<redacted>,4116,4116,4116,4,<redacted>,True,411,411,411,False,valid,mismatch,0.8224,0.9372,0.8775,0.3612,dual_ocr,814.9,195.6,209.0,410.0,
pilot_0034,<redacted>,<redacted>,11310,11310,11310,5,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,145.6,145.6305000174325,,,
pilot_0035,<redacted>,<redacted>,3700,3700,3700,4,<redacted>,True,370,370,370,False,valid,mismatch,0.8516,0.9476,0.8986,0.6259,red_position,634.4,185.3,290.5,158.2,
pilot_0036,<redacted>,<redacted>,0,0,0,1,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,164.7,164.7176000114996,,,
pilot_0037,<redacted>,<redacted>,3621,3621,3621,4,<redacted>,True,36212,36212,36212,False,valid,mismatch,0.8295,0.9152,0.9063,0.6877,red_position,588.8,148.7,275.0,164.7,
pilot_0038,<redacted>,<redacted>,4005,4005,4005,4,<redacted>,True,405,405,405,False,valid,mismatch,0.7481,0.9408,0.7951,0.7191,dual_ocr,643.0,140.6,174.4,327.6,
pilot_0039,<redacted>,<redacted>,10600,10600,10600,5,<redacted>,True,10,10,10,False,valid,mismatch,0.9154,0.9384,0.9754,1.0,dual_ocr,718.9,188.0,213.7,316.9,
pilot_0040,<redacted>,<redacted>,9350,9350,9350,4,<redacted>,True,09351,09351,9351,False,valid,mismatch,0.8673,0.9358,0.9268,1.0,dual_ocr,729.1,244.2,169.4,315.0,
pilot_0041,<redacted>,<redacted>,4870,4870,4870,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,260.0,260.0207999930717,,,
pilot_0042,<redacted>,<redacted>,3238,3238,3238,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,150.1,150.05680001922883,,,
pilot_0043,<redacted>,<redacted>,11291,11291,11291,5,<redacted>,True,1129,1129,1129,False,valid,mismatch,0.9006,0.9407,0.9574,1.0,dual_ocr,665.8,150.8,175.6,339.0,
pilot_0044,<redacted>,<redacted>,3008,3008,3008,4,<redacted>,True,308,308,308,False,valid,mismatch,0.7692,0.9367,0.8212,0.5405,red_position,581.4,181.9,254.7,144.4,
pilot_0045,<redacted>,<redacted>,4703,4703,4703,4,<redacted>,True,470,470,470,False,valid,mismatch,0.7185,0.92,0.7809,0.5328,red_position,994.5,230.7,590.1,173.1,
pilot_0046,<redacted>,<redacted>,10006,10006,10006,5,<redacted>,True,9000,9000,9000,False,valid,mismatch,0.7395,0.9351,0.7908,0.0835,dual_ocr,1027.7,160.5,393.8,472.9,"Orientation ambiguous (method=dual_ocr, delta=0.0835)"
pilot_0047,<redacted>,<redacted>,7499,7499,7499,4,<redacted>,True,99,99,99,False,needs_review,mismatch,0.6198,0.7101,0.8729,0.3235,dual_ocr,778.4,207.0,215.1,355.9,"Multiple detections (2), using highest confidence"
pilot_0048,<redacted>,<redacted>,2000,2000,2000,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,185.5,185.5230999935884,,,
pilot_0049,<redacted>,<redacted>,1124,1124,1124,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,184.0,183.97600000025705,,,
pilot_0050,<redacted>,<redacted>,8043,8043,8043,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,3088.4,3088.3703000145033,,,
pilot_0051,<redacted>,<redacted>,4219,4219,4219,4,<redacted>,True,42,42,42,False,valid,mismatch,0.8742,0.9262,0.9438,1.0,dual_ocr,936.4,152.6,247.6,535.9,
pilot_0052,<redacted>,<redacted>,11304,11304,11304,5,<redacted>,True,1304,1304,1304,False,valid,mismatch,0.8562,0.944,0.907,0.1945,dual_ocr,798.8,166.2,271.3,360.8,"Orientation ambiguous (method=dual_ocr, delta=0.1945)"
