epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,304.595,0.63787,0.4511,1.11762,0.01415,1,0.982,0.99484,0.8956,0.48448,0.33567,1.02309,0.00159,0.0012674,0.0012674,0.0012674
39,311.858,0.58633,0.44891,1.07796,0.01029,0.99774,1,0.995,0.90347,0.49135,0.34233,1.01616,0.00176,0.0012476,0.0012476,0.0012476
40,320.019,0.57921,0.42985,1.07251,0.0075,0.9987,1,0.995,0.90651,0.48991,0.34077,1.01421,0.00203,0.0012278,0.0012278,0.0012278
41,326.017,0.6045,0.46277,1.09126,0.01267,0.99898,1,0.995,0.90228,0.47412,0.33132,1.03788,0.00166,0.001208,0.001208,0.001208
42,334.023,0.58684,0.44027,1.09454,0.01102,1,0.99932,0.995,0.91883,0.43699,0.32844,1.01638,0.00122,0.0011882,0.0011882,0.0011882
43,341.66,0.54633,0.40921,1.07672,0.01096,0.9994,1,0.995,0.91929,0.45521,0.31675,1.02196,0.00117,0.0011684,0.0011684,0.0011684
44,349.469,0.57153,0.40905,1.06512,0.01365,0.99747,1,0.995,0.90249,0.51269,0.32946,1.01471,0.00164,0.0011486,0.0011486,0.0011486
45,356.204,0.60982,0.42726,1.09514,0.01565,0.99888,1,0.995,0.90929,0.47095,0.3098,1.00752,0.00113,0.0011288,0.0011288,0.0011288
46,364.764,0.58555,0.42462,1.05662,0.01314,0.999,1,0.995,0.90518,0.46055,0.32332,1.00985,0.00138,0.001109,0.001109,0.001109
47,370.974,0.59298,0.43664,1.09093,0.01595,0.99807,1,0.995,0.9165,0.45644,0.31863,1.00396,0.00106,0.0010892,0.0010892,0.0010892
48,378.798,0.59,0.42704,1.13509,0.01394,0.99742,1,0.995,0.90956,0.47885,0.33183,1.02459,0.00129,0.0010694,0.0010694,0.0010694
49,386.554,0.57656,0.42795,1.09726,0.01288,0.99807,1,0.995,0.92771,0.45244,0.30746,1.02411,0.00081,0.0010496,0.0010496,0.0010496
50,394.446,0.54851,0.41165,1.07759,0.00946,0.99869,1,0.995,0.91581,0.46523,0.32777,1.06765,0.0009,0.0010298,0.0010298,0.0010298
51,401.6,0.54284,0.42891,1.0996,0.01087,0.99903,1,0.995,0.9218,0.4561,0.31679,1.03927,0.00101,0.00101,0.00101,0.00101
52,410.792,0.5621,0.40645,1.07989,0.00977,0.99923,1,0.995,0.90694,0.51984,0.32521,1.02825,0.00146,0.0009902,0.0009902,0.0009902
53,417.169,0.56654,0.42969,1.09453,0.01245,0.99835,1,0.995,0.91008,0.46678,0.32186,1.00775,0.00139,0.0009704,0.0009704,0.0009704
54,424.886,0.54887,0.41545,1.11287,0.00787,0.99948,1,0.995,0.9061,0.46682,0.32099,1.026,0.00102,0.0009506,0.0009506,0.0009506
55,432.002,0.53916,0.40826,1.07243,0.01292,0.99852,1,0.995,0.93161,0.44517,0.3091,1.01829,0.00121,0.0009308,0.0009308,0.0009308
56,438.003,0.53912,0.40061,1.08958,0.0105,0.99897,1,0.995,0.89754,0.47518,0.31417,1.03695,0.00132,0.000911,0.000911,0.000911
